rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1951	-0.9	1.5	2.6	9	12.5	17	18.1	19.4	15.2	6.5	7.2	0.7
1952	-0.6	-2.6	-3.9	10.5	10.9	15.5	17.8	18.9	12.7	8.3		
1953				8.7	11.7	17	18.7	16	13.4	8.7	1.9	-1
1954	-10.3	-7.7	3.6	4.6	12.6	17.9	16.5	16.9	14.3	8.1	2.7	2.1
1955	-2.6	-2.3	-0.3	4.4	10.9	14.7	17.3	16.8	13.4	8.6	2.7	0.9
1956	-1.1	-13.2	-1.5	7.2	11.6	16	16.7	16.5	12.9	7.7	-1.7	-1.4
1957	-1.5	2.9	2.1	8	9.5	17.6	18.4	16.1	12	8.2	3.8	-0.7
1958	-3.2	1.5	-1.8	4.7	15.8	14.9	18.1	16.9	12.4	9.6	4.2	2.1
1959	-1.4	-4.5	4.5	8.1	12.8	15.5	19.7	16.6	10	6.5	3.6	1.7
1960	-3.1	-3	2.5	6.7	11.9	16.2	16.4	16.4	11.5	10.9	6.5	3.7
1961	-4.3	0.8	5	10.7	11.4	17.2	16	16.7	13.9	10.4	5.2	-3.4
1962	-0.2	-3.2	-1.5	10.3	11.4	14	15.3	17.2	12.2	7	4.9	-4.2
1963	-11.6	-8.7	-1.1	8.5	14.1	16.2	18.2	18.6	14.4	8.1	7.7	-4.5
1964	-7.6	-4.8	-2.5	7.9	11.4	19.3	17.8	15.2	12.4	8.3	4	-0.7
1965	-1.4	-7.1	1.6	6.3	10.6	15.9	16.5	14.4	14	6.8	0.4	0.7
1966	-5.8	3.1	2.8	9.7	13	15.6	17.7	16.4	12.4	12.5	4.1	-0.7
1967	-5.5	-1.2	4.4	7.8	13.3	15.8	18.7	16.7	15.8	11.1	4.6	-2.2
1968	-5	0.1	2.7	9.4	13.1	17.6	16.1	16.1	13.5	8.8	5.9	-3.8
1969	-5.8	-2.3	-1.1	6.3	15.2	15.3	17.3	15.9	12.6	7.7	6.7	-6.1
1970	-3.1	-3.3	1.7	7.9	11.7	15.8	16.9	16.5	11.6	6.9	5.7	0.6
1971	-1.9	-0.4	0.8	9.3	16.8	16.8	19	19.1	11.3	7.7	3	1.8
1972	-3.7	2.1	5.6	9.7	15.1	18.3	20.3	17.2	11.7	6.5	4.7	0.8
1973	-1.4	0.4	2.4	7.9	13.5	15.8	17.3	17.7	13.8	7.6	1.1	-1.1
1974	-1.3	3.1	5.7	6.6	10.8	13.4	15.7	17.8	13.4	6.2	3.6	0.9
1975	1.9	-2.2	5	7.1	13.4	15.9	17.6	16.6	15.1	7.9	1.8	-0.5
1976	-4.1	-4.6	-1.5	7.9	11.7	14.4	17.4	13.7	12.9	9	5.1	-0.7
1977	-0.1	1.9	5.4	6.6	13.1	16.1	16.4	16	10.7	9.3	4.3	-2.9
