"";"Miesiac";"Srednia";"Mediana";"Odchylenie_standardowe";"Minimum";"Maximum";"Rozstep_miedzykwartylowy"
"1";6;-2,87;-2,2;3,08;-11,6;2,6;4,1
"2";12;-1,84;-1,5;3,62;-13,2;4,2;4,1
"3";4;2,3;2,6;2,47;-3,5;6,9;3,7
"4";7;7,96;7,9;1,68;4;11,2;2,6
"5";11;13,14;13,2;1,66;9,5;16,8;2,3
"6";2;16,31;16,1;1,34;13,4;19,3;1,8
"7";5;17,83;17,7;1,47;14,9;20,6;2,4
"8";3;17,12;16,9;1,28;13,7;20,7;1,4
"9";10;12,97;12,6;1,43;9,5;15,8;1,8
"10";8;8,5;8,3;1,58;5,4;12,5;2,1
"11";1;3,78;4,1;2,41;-1,7;8,6;3,8
"12";9;-0,8;-0,7;2,39;-6,5;3,7;3,1
