rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1901	31.5	40.9	59	83.1	27	104.9	90.4	192.6	67.8	48.2	81.9	76.8
1902	49.2	62.9	56.3	70.1	139.3	176.5	99	90.2	26.8	127.9	2.3	51.5
1903	42.5	33.9	13.6	100.5	72.3	171.2	111	86.9	16.4	61.5	113.3	37.2
1904	13.5	60.3	3.3	45.5	75	64.2	20.7	48.6	66.4	74.5	48.3	49.8
1905	46.2	26.6	12.3	72.8	74	99.5	52.7	55.2	82.4	112.5	56.9	33.5
1906	42.2	23.9	91.3	48.8	59	107.9	103.7	93.2	102.1	11.2	75.3	94.8
1907	75.5	24.3	52.3	59.1	58.3	161.2	98	41.2	72.1	27.9	39.6	86.8
1908	46.5	89.3	60.3	92.1	40	63.2	114.4	90.2	78.4	14.2	35.6	39.2
1909	60.5	34.6	65.3	51.5	100.3	147.2	68.4	54.2	107.4	20.9	50.3	70.5
1910	70.5	29.9	4	80.8	70	51.5	126.4	101.6	60.1	38.5	117.3	56.8
1911	42.5	46.6	36.3	97.8	76	65.2	43	120.9	37.4	38.9	45.9	41.2
1912	52.8	78.9	94	98.5	144	72.2	96.7	194.9	151.8	56.5	64.6	59.5
1913	30.8	17.3	36	72.1	66	61.9	220.4	260.2	164.1	28.2	43.6	70.8
1914	21.8	12.9	110.6	26.1	58	171.9	84.4	36.2	157.1	77.2	7.6	44.8
1915	105.8	50.6	77.3	65.8	43.6	44.2	133	95.6	177.4	72.2	96.6	100.8
1916	64.8	57.3	71.3	121.8	48.6	82.9	148.4	101.6	49.8	100.9	41.6	80.8
1917	44.5	16.6	47	54.5	49	71.5	68	75.6	31.1	35.5	50.6	24.5
1918	24.5	25.6	7.3	21.8	48	47.9	111.4	134.2	63.8	106.9	64.9	88.2
1919	21.5	38.9	114	110.5	135.3	82.5	100.7	66.2	21.4	80.9	95.3	44.8
1920	42.5	30.3	21.6	25.5	109.3	89.5	110	81.6	168.8	129.5	62.3	45.5
1921	36.8	21.6	9	51.5	99.6	121.9	44	60.6	31.1	33.2	79.6	20.2
1922	44.2	45.6	73	70.5	53.6	94.2	70.4	79.2	165.8	112.5	34.6	27.8
1923	54.2	48.6	10.6	65.5	32	126.2	42.7	42.9	65.1	129.5	118.3	39.2
1924	52.8	39.6	82.6	121.1	110	68.2	98.7	93.9	66.4	35.5	34.6	22.2
1925	24.5	52.6	46	60.8	129.6	131.2	148	180.6	111.4	49.5	60.3	76.2
1926	64.2	62.9	45	72.5	64.6	169.9	163.7	130.2	50.1	147.9	16.3	40.8
1927	70.5	41.9	43.6	132.5	104.3	147.5	91	241.2	91.4	26.2	101.6	18.8
1928	37.5	40.9	32.6	70.1	101.3	97.5	27	44.2	68.8	41.9	77.3	42.8
1929	46.5	28.9	22.3	42.8	49	70.5	86	92.6	61.4	85.2	38.9	44.8
1930	27.2	23.3	49.3	105.5	72	59.5	66.7	203.6	65.1	96.5	97.9	19.2
1931	58.8	18.3	57.6	44.1	44.6	90.9	62.4	151.6	160.1	87.9	37.9	50.5
1932	32.5	26.9	28.3	71.5	117.6	94.2	36.7	50.9	26.1	88.2	43.3	30.2
1933	14.5	48.3	32.3	53.1	69.3	174.2	86	119.2	84.1	99.9	86.3	20.8
1934	12.8	12.3	33.6	33.1	31.3	69.2	147	80.2	99.1	51.5	74.6	25.2
1935	15.2	60.3	27	107.1	85.6	71.2	63.4	84.2	92.8	94.9	20.9	58.2
1936	70.2	70.9	39.3	93.5	79	120.9	139.7	146.6	130.1	111.9	45.3	24.8
1937	48.5	41.9	115.6	63.8	7	81.2	61	169.6	85.4	14.2	78.9	64.8
