rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1901	-8.5	-6.9	2.3	7.1	12.5	16.8	18.4	16.6	12.3	9.6	0.9	0.4
1902	-0.6	-1.2	1.4	6	8.9	15.3	16.6	17	12.6	7.8	-2.5	-8.6
1903	-3.9	0	5.2	6.8	12.6	15.4	17.6	16.4	14.3	8.9	3.1	-1.9
1904	-5.2	-0.3	1.5	7.9	11.2	15.3	18.6	17.2	12.1	8.7	0.2	-1.9
1905	-7.9	-2.6	2.7	6.3	13.2	17.6	18.9	18.6	14.3	5.2	4.2	-2.7
1906	-4	-1.9	2.4	9.9	14.7	16	18.4	16.4	12	7.7	5.4	-4.8
1907	-6.5	-6.8	-1.5	5.8	15.1	15.8	16.6	16.5	12.6	12.6	0.8	-2.5
1908	-5	-2.2	2.1	6.7	14.4	16.7	17.8	15.2	11.8	6.6	-2.9	-4.9
1909	-5.5	-7.7	1.9	7.5	11.3	15.4	17	18.2	14.8	10.8	1.2	0.5
1910	-1.9	1.2	2.1	7.7	12.9	16.8	16.3	16	12.2	7.1	1.1	0
1911	-2.8	-6.4	2	6.9	13	14.5	17.5	17.3	12.8	8.3	4.3	-1
1912	-8.2	-1.7	4.2	5.1	10.3	16.3	17.1	14.9	8.7	5.1	0	-1
1913	-5.1	-3.8	4.3	7.9	10.7	13.7	14.6	14.4	12.6	7.6	3.2	-1.1
1914	-7.8	-2.6	3.1	8.7	11.7	14.3	17.3	15.6	10.6	6.5	-0.6	-0.2
1915	-1.7	-2.4	-1.1	7.4	12.5	16.5	17.2	14.7	10	6.9	-0.4	0.8
1916	-1.1	-2.5	4.4	8	11.6	14.8	16.7	15.7	11.8	7.5	3.6	0.2
1917	-4.1	-8.4	-0.8	6.4	12.1	17.4	17.2	18.1	13.7	9.4	3.7	-4.4
1918	-1.1	-2.6	2.2	11.8	12	13.2	16.9	16.1	14.3	9.8	0.5	-2.7
1919	-4	-2.5	2.3	7.5	7.7	14.3	15.6	15.2	15	7.2	-0.7	-3.2
1920	-2.4	-2.8	4.2	12.8	13.6	13.3	18.6	16.1	12.9	4	-1.7	-2.4
1921	0.9	-3.7	4.6	8.7	14	13.8	18	17.8	11.4	7.7	-1.3	-3.9
1922	-7.3	-7	2.7	6.7	12.3	15.2	17.4	16.2	11	5.5	-1.1	-2.8
1923	-2.1	-3.4	2.9	6.5	14.1	12.4	17.4	15.6	13.4	10.8	4.7	-3
