rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1951	0.4	1.3	0.9	6.3	10.7	15.2	16	17	12.9	5.5	6.6	1.6
1952	-0.9	-1.8	-1.4	8.7	10.6	14	16.6	17.2	10	6	1.6	-3.2
1953	-2.2	-1.4	2.3	8.3	11.3	16.7	17.9	14.2	12.3	9.6	3.5	0.6
1954	-6.9	-7.6	3.1	3.7	11.2	16	14.5	15.7	13.2	8.2	1.7	2.1
1955	-3.8	-3.6	-1	3.9	10	13.5	16.4	15.3	12.2	6.5	2.7	1.2
1956	-1.1	-13.8	0.2	4.6	11	13	16.2	14	12.3	7.2	0	-0.1
1957	-2.1	2.7	3.4	5.9	8.9	16.2	17.5	14.1	10.7	7.4	4.4	-1.1
1958	-1.7	1.2	-2.9	3.5	13.8	14	16.9	15.6	12.4	8.4	4	1.2
1959	-0.1	-4.4	5	8.3	11.3	15.1	18.3	16.1	9.5	6.8	2.9	0.3
1960	-2.7	-2.7	2.4	5.3	11.5	15.3	15.4	15.2	11.8	9.2	4.9	1.7
1961	-3.3	2.5	5.1	10.1	9.6	15.8	14.6	14.8	14.1	9.9	3.2	-4.4
1962	0.2	-2	-1.2	8.3	9.3	13.3	14	15	11.1	6.9	3.2	-6.3
1963	-9.8	-7.8	-0.1	7.1	11.3	15.3	16.8	16	13.1	7.1	7.4	-5.2
1964	-4.6	-2.1	-1.9	7.8	12.2	16.9	16.8	14.1	11.6	6.3	3.7	-1.6
1965	0	-5.2	-0.1	5.6	9.8	14.7	14.9	14.2	12.6	5.7	-0.3	1.5
1966	-6.9	2.1	2.4	8.3	11.6	15.5	15.5	15	11.7	10.8	1.5	0.5
1967	-1.9	1.1	4.6	5.6	12.1	14.2	17.6	15.3	13.8	10.8	3.2	-1.1
1968	-3.4	-0.5	3.4	7.7	10.4	15.6	15.4	15.2	12.4	8.7	3.2	-3.7
1969	-3.3	-3	-1.6	5.8	13.2	14.2	17	14.7	12.4	8.7	4.7	-7.5
1970	-5.3	-3.1	-0.6	5.8	10.2	15.5	16.1	15.4	11.2	7.8	4.8	-1
1971	-4.6	0.3	-0.6	7.4	12.9	13.3	16.1	17.7	10.2	7.1	2.6	2.7
1972	-4.7	2	4.5	6.6	11.1	14.6	17.4	15	9.6	5.1	4.2	-0.6
1973	-1.4	0.9	3	4.3	11.7	14.5	15.9	15.7	13	6.1	1.8	-1.7
1974	1.7	2.1	5.2	6	10	12.7	14.7	16.6	12.2	4.9	3.5	3.3
1975	3.1	-1.6	3	6	11.4	13.9	16.7	16.6	15.1	7.1	1.3	-0.1
1976	-1.3	-0.9	-1	5.3	11.2	14.5	17.1	13.8	11.4	8.9	4.4	-2
1977	-0.9	0.2	5.6	4.8	10.9	15.3	15	15.1	10.4	8.9	4.5	-0.5
1978	-0.5	-2.4	3.9	5.3	10.6	13.6	14.4	14.4	11.3	8.3	2.8	-1.3
1979	-5.7	-3	3.1	5.7	12.9	16.9	13.9	15.4	12	6.9	2.7	3.2
1980	-6.2	0.7	1.3	4.2	8.4	14	14.6	15	11.8	7.9	1.7	0.1
1981	-3.1	-1	6	5.5	12.6	15.8	15.8	15.5	12.5	8	3.4	-3
1982	-4.7	-1.6	3.9	4.7	11.9	15.5	17.1	16.4	14.4	9.2	4.6	0.8
1983	2.9	-3.4	4.1	9	12.8	15.2	18.5	16.1	13	8.9	2.3	-1.1
1984	0	-1.6	0.9	6	11.5	13.1	14.3	15.6	11.4	10.2	3.4	-1.7
1985	-7.2	-5.7	2.3	6.9	13.3	12.6	16.2	16	12.1	7.5	-0.2	2.7
1986	-1.4	-9.5	2.8	7.4	14.1	14.4	15.8	15.6	10.7	8.6	4.6	0.5
1987	-9.4	-2.3	-2.3	7.6	9.6	14	16.4	14.3	13.5	9.5	4.3	0.3
1988	2	1.6	1.2	6.9	13.1	14.5	16.9	15.8	12.6	9.1	0.2	1.4
1989	0.9	2.6	5.2	7.7	11.8	13.9	16.5	16.2	13.3	9.7	0.9	0.8
1990	1.3	4.7	6	6.3	12.2	14.8	15.6	16.8	10.9	9.2	3.8	-0.5
1991	0.3	-4.5	4.9	6.1	8.2	13.4	17.7	16.3	13.3	7.2	2.2	-2.2
1992	0.1	1.4	3.3	7	12.8	16.8	18.4	20	12.5	5.7	3.8	-1.4
1993	1	-2.9	1.2	8.8	14.1	14.8	15.4	15.4	12	7.7	-1.5	2.4
1994	2.5	-2	4.9	7	11.8	15.2	19.8	17.1	13.4	6.5	5.2	1.8
1995	-1.5	4	2.3	7.6	11.3	14	19	16.5	12	10	-0.1	-3.6
1996	-5.9	-4.7	-1.8	6.1	11.4	15	14.9	16	9.2	9.2	4.9	-7.2
1997	-5.3	2	3.2	4.3	12.3	15.4	15.9	17.2	12.2	5.8	2.6	0.9
1998	0.2	3	2.3	9.2	12.7	16	16.4	15.6	12.5	7.9	-0.2	-1.6
1999	0.8	-1	4.6	7.9	12.6	14.5	17.8	15.9	15.6	8.3	2	1.1
2000	-1.9	2.3	3.5	10.7	14.1	16.4	14.9	17.1	12.3	11.4	6	0.8
2001	-0.5	0.2	2.6	6.5	13.5	13.4	17.5	17.7	11.2	11.5	2	-2.8
2002	-2	4	3.7	7.2	15.5	16.7	18.3	18.6	11.6	7.2	4.1	-3.6
2003	-2.2	-4.2	2.7	6.1	14.2	18	17.5	18.1	12.7	4.8	4.8	-0.1
2004	-4.1	1.2	3.1	8.3	10.9	14.9	16.3	17.4	12.1	9.1	3.2	0.1
2005	0.5	-3.4	0.4	8.1	12.3	14.8	17.5	15	13.2	9.1	1.3	-1.1
2006	-7	-3.1	-0.4	7.5	12	16.1	20.6	15	15.1	9.9	5.2	2.8
2007	3.7	2.9	4.9	9	13.9	17.3	17.2	16.5	11	7.1	1.8	-0.9
2008	2.3	3	3.3	7	12.5	16.2	17.4	16.7	11.4	7.9	4.9	1.1
2009	-4.3	-0.8	3.5	10.8	12.3	13.9	17.4	17.1	13.8	6.5	6	-1.4
2010	-6.7	-2.1	2.4	7.1	11	15.3	19	16.7	11	5.9	4.8	-7.4
2011	-1.6	-2.5	2.9	9.6	12.5	16.5	16.1	17.3	13.9	7.7	2.2	2.5
2012	-0.2	-5.5	4.6	7.7	13.6	15.6	17.8	17.1	12.8	7.1	4.2	-1.8
2013	-2.3	-1.3	-2	7.2	12.3	15.4	18.1	16.8	11.4	9.6	4.4	1.9
2014	0	2.9	5.8	9.3	12	15.2	19.1	15.7	13.8	10.1	6	1.9
2015	1.4	-0.2	4.1	7.1	11.6	14.8	19.1	20.8	13	7.5	5.7	4.8
2016	-2.1	2.9	3	7.1	13	16.8	17.9	15.9	14.7	7.8	2.7	
