rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1951	51.4	55.9	83.5	73.9	138.1	90.9	145.5	99.5	44.7	5.1	141	30.8
1952	105.2	104.8	52.5	74.8	145	113.4	57.6	90.1	154.6	84.2	131.2	57.7
1953	93	62.4	50.2	38.4	74.5	109.2	184.5	27.6	30.3	41.4	13.8	22.7
1954	72.3	33.2	32.7	162.2	113.9	77.5	249.6	34.4	84	68.3	45.9	124
1955	101.8	68.7	34.8	126.1	90.1	106.6	303.4	123	84.1	32.5	65.6	67.3
1956	60.8	56.6	81.3	106.7	63.2	168.8	110.6	118.8	61.2	216.8	130	73.7
1957	29.8	122.2	85.4	106.6	66.4	82.1	358	69.4	149.7	13.2	54.2	91.6
1958	87.6	132	85.7	128.1	124.3	184.9	227.7	133.3	79.2	137.5	44.6	72
1959	55.9	34.4	34.4	162.8	108.3	93.3	219.3	113.7	6.2	39.1	39.2	98.6
1960	94.3	38.2	56.4	69.3	66.4	91.5	46.6	207.6	59.1	142	66.7	110.5
1961	52.4	55.5	92.3	93.5	212.8	101.6	185.7	87.8	37.9	79.3	85.2	128.5
1962	86.8	100.3	100.7	100.5	147.3	92	140.6	70.1	96.2	79.7	42.9	51.1
1963	41.8	33.2	51.3	49	175	152.6	84.5	205.6	138.6	57.8	135.1	16.9
1964	12.2	43.8	60.4	78.1	84.7	136.4	91.8	334.7	42.8	273.8	106.6	53
1965	69.3	94.2	50.7	144.4	293.7	134.7	156.4	137	94	10.8	94.8	104.4
1966	88.8	98.9	126.4	88.5	110.8	166.2	152.2	178.6	26	100.4	63.6	89.4
1967	40.7	105.8	80.3	109	221.4	116.3	100.5	89.1	166.7	59	36	94.2
1968	61	38.7	60.3	106.8	161.1	276.4	118.1	111.9	100.8	50.8	83.5	11.7
1969	48.3	47.8	83	59.7	71.8	147.1	61.4	91.9	38.7	51.7	116.5	26
1970	41.6	92.3	66.4	93.8	75.6	99.9	136.5	119	40.7	92.2	104.9	96.1
1971	40.3	67.8	63.7	84	174.8	214.3	54.1	66.5	64.3	42.5	123.2	75.4
1972	26.6	26.5	53.5	57.7	164.8	112.8	75.8	91.3	167	23.1	100.1	3
1973	14.9	67.4	39.1	120.6	97.2	69.1	123.5	23.7	23.4	92.9	60.9	75.6
1974	36.7	70.8	37.7	39	159.1	230.4	177.9	122.2	54.9	182.9	63.1	194.9
1975	47.1	33.8	96.4	65.5	144.9	152.3	169.4	87.6	36.1	133.9	73	35.3
1976	152.5	15.8	41.7	43.3	76	48.1	122.2	88.7	88.3	84.9	127.6	44.7
1977	49.5	80.8	37.4	78.3	135.6	141.6	219.4	374.8	99.1	55.7	141.6	73.9
1978	38.8	14.2	50.7	83.5	89.1	39.8	71.3	119.6	83.1	63.8	48.3	122.8
1979	56.8	28.8	70.9	100.5	50.6	248.2	48.4	87.4	140.7	36.2	141.4	113.1
1980	58	54.7	51.5	148.8	40.1	132.6	270.8	77.6	64.5	96.2	36.5	46.3
1981	69.4	40.8	66.9	52.8	40.4	89.5	315.8	150.9	57.8	173.5	122.7	107.3
1982	30.2	13.3	66.1		105.3	115.5	177.2	83.5	13.1			
1983												31.1
1984	90	59.2	32.6	138.9	55.8	89.5	67.6	139.6	146.6	26.1	70	20.1
1985	47.7	64.4	63.5	75.1	92.8	105.4	45.4	148.7	17.4	40.9	123.6	48.8
1986	83.3	44.8	60.7	70.1	135	107.4	98.1	166.9	52.5	68.9	12.6	114.3
1987	103.4	56.2	39.6	52.4	114	73.9	73.5	100.3	98.8	27.1	86.3	29.8
1988	48.6	111.8	124.6	26.2	39.2	123.6	159.3	58.2	115.1	15.6	89	110.3
1989	19.2	17.6	50.5	141.8	48.5	113.5	93.2	62.4	79.9	49.3	69.2	60.5
1990	40.5	79	24.8	78.9	51	90.6	17.7	79.4	87.1	53.8	89.2	79
1991	34.2	19.5	42.7	80.8	92.4	132.6	146	93.4	31.5	29.7	88.7	92.4
1992	35.2	80.9	170	42.2	50	78.9	77.4	48.3	34.2	61.8	49.5	37.2
1993	85.4	65.1	69.8	36.3	95.2	72.5	182	67.1	70.7	87.7	59	166.3
1994	75.9	27.4	123.5	106.6	83.7	52	97.4	130.2	165.9	29.6	37.2	69.3
1995	128.7	50.1	70.8	70.6	132	206.3	146.9	145.6	125.6	9.1	83.9	99.1
1996	11.8	51.1	65.8	71.9	126.7	84.5	139.9	119.8	175.4	74.2	45.6	41.6
1997	20.7	75.1	52	127.1	107.3	118.1	501.1	86.4	64.4	73.8	64.8	118
1998	81.3	32	106.3	97.1	39.8	176	84.6	61.2	140.1	140.2	96	54.4
1999	41.3	94	53.4	56	72.1	178.5	93.9	44.3	51.3	55.7	51.6	80.8
2000	108.1	93.5	194.6	31.3	78.7	63.2	200.8	54.7	59.7	45.6	73.6	34.5
2001	43.6	66.1	74.5	106.4	85.9	170.6	259.5	87.8	147.4	30.8	95.6	134.9
2002	57.2	94.1	73.4	76.4	76.3	90	99.3	223.9	110.3	116.5	92.1	49.4
2003	92	15.5	31	57.7	57.7	40.4	148.4	55.9	60.5	77.2	17.7	88.7
2004	89.8	86.1	110.5	41.7	86.4	88.1	98.2	71.5	50.2	42.4	134.1	37.8
2005	100	108.6	56	43.1	86.1	108.2	191.3	129.1	109.5	10.2	49.6	124
2006	37.3	40.2	83.1	66	51.4	92.1	40.7	381.2	21.3	33.3	70.3	66.8
2007	179.4	66.9	91	7.4	89.2	124.5	154.7	98.6	216	53.2	75	93.7
2008	59	62.8	86.5	90.6	109.6	29.5	95.2	104.1	65.9	143.1	63.2	73.7
2009	42.1	81.9	109.4	0.9	150.5	219.1	115.8	52.1	29.1	128.6	47	60.7
2010	62.7	21.3	48.5	74.8	133.6	117.9	183.3	269.5	170.5	11.8	129.7	86.3
2011	62.5	10.4	46.4	50.7	66.1	97	229.7	93.3	86.3	51.2	0.4	114.1
2012	134.8	88	36.2	82.1	57.2	90.1	171.9	135.3	59.8	63.5	61.3	36.2
2013	95.1	91.4	50.6	61.6	152.3	259.4	57.8	78.5	147.5	41.2	49.4	42.4
2014	35.4	0.9	51.9	57.5	152.8	110.9	181.6	68.2	156.8	54.7	20.4	47.5
