rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1951	0	-0.1	-0.9	5.5	8.6	13.2	14.6	16.1	12.6	6.2	5.5	2
1952	-2.2	-3.1	-2.5	7.7	8.7	12.5	15.6	16.6	8.4	4.8	-0.3	-3.1
1953	-3.2	-2.9	2	7.1	9.7	14.6	16.3	14	11.9	9.1	3.7	1.5
1954	-7.4	-7.1	2.3	1.5	9.3	14.2	12.7	14.8	12.2	7.3	1.8	1
1955	-2.9	-4.6	-2.2	2.3	8	11.9	14.6	14.1	11.6	6.5	2.1	0.3
1956	-3	-12.6	-1.3	2.6	9.5	11.4	14.6	12.7	11.8	6.6	-1.6	-0.5
1957	-1.1	1.8	3	4.6	6.9	14.8	15.5	12.8	9.5	7.7	2.9	-0.9
1958	-2.5	-0.2	-4.4	1.3	12.2	12.1	15.2	14.3	11.7	7	2.7	0.5
1959	-1.8	-1.5	4	6.6	9.6	13.3	16.5	14.8	9.9	6.8	3.3	-0.1
1960	-2.5	-2.9	0.8	3.7	9.9	13.3	13.6	14.1	10.2	7.6	4.3	0.3
1961	-2.7	1.7	3.6	8.8	7.6	14.2	12.8	13.8	14.4	9	2.8	-3.1
1962	-0.6	-3.9	-3.1	6.6	7.4	11.5	12.5	14.2	10.6	7.2	1.3	-5.4
1963	-9.5	-7.1	-0.1	5.5	9.6	13.7	15.6	14.6	12.1	6.4	6	-4.8
1964	-2.8	-3.4	-3.8	6.1	10.6	15.2	15.2	12.8	11.4	5.4	2.3	-1.2
1965	-1.3	-6.1	-0.7	3.9	7.5	12.9	13.1	13	11.9	6.6	-1.2	-0.4
1966	-6.1	1.8	0	6.7	10.2	14	13.6	13.6	10.4	10	1	-1.1
1967	-2.5	-0.4	2.7	3.6	10.3	12.5	16.1	13.8	12.5	10.4	2.6	-2.1
1968	-4	-1.6	1.5	6.5	8.5	14.1	13.5	13.7	11.1	7.8	2.4	-4.2
1969	-2	-4	-3.5	4	11.7	12.3	15.5	13.3	11.4	9.1	3.1	-6.8
1970	-4.4	-4.4	-1.4	3	8.3	13.8	14.4	14	10.3	6.2	3.9	-2
1971	-0.2	-1.6	-1.9	6.2	12.2	12	16.1	17.2	9	7.1	1.3	1.5
1972	-4.5	1.3	3.4	4.6	10.1	13.8	16.4	13.8	8.4	4.5	2.6	1.7
1973	-1.7	-1.1	1.6	2.7	10.7	12.8	14.5	15.4	12.3	5.1	0.8	-1.6
1974	1.2	1	3.6	4.9	8.4	11.1	13	15.5	11.3	2.8	2.9	1.5
1975	2.5	-1.1	1.8	4	9.7	12.1	15.3	15.4	14.4	6.6	1	-0.8
1976	-3.2	-1.2	-2.9	3.6	9.9	13.5	15.8	12.4	10.1	8.7	2.8	-2.6
1977	-0.9	0.8	4.6	3.2	9.8	14.1	13.8	13.8	9.1	10	3.1	0.2
1978	-1.3	-3	2.9	3.9	9.2	12.7	13.4	13.4	9.6	8.2	4.6	-1.1
1979	-6.4	-2.6	1.9	4.1	11.6	16	12.3	14.4	11.4	7.3	1.9	2.2
1980	-4.6	0.5	-0.6	2.8	7.3	12.4	12.7	14.5	11.7	6.6	0.6	-1.2
1981	-3.4	-2.2	4.9	4.6	11.6	13.9	14.2	14.3	12.7	6.1	0.8	-5.2
1982	-0.9	-1.9	1.3		10.4	14.7	15.6	16.2	15.2			
1983												0.4
1984	-0.6	-2.4	0.1	5.2	10.8	12.5	13.9	15.5	10.6	9.9	4.7	-0.9
1985	-6.2	-6.2	1.5	6.3	12.7	11.9	16	15.5	11.8	7.3	-0.6	3.3
1986	-1.7	-8.8	2.1	6.8	13.9	13.9	15.6	15.3	10.1	8.5	5.6	1.2
1987	-9.1	-1.2	-3.3	7.1	9.2	13.5	16.3	14.1	13.3	8.9	3.9	0.5
1988	2.6	0.6	0.2	6.6	12.9	13.9	16.8	15.8	11.9	9.1	0.4	0.8
1989	1.7	2.6	5.1	7	12.2	13.6	16.2	15.9	13.2	9.9	1.9	2.1
1990	2.2	5.1	5.8	5.7	12.3	14.4	15.4	16.8	10	9.6	3.6	-0.8
1991	0.6	-4.2	5	5.7	7.6	13.1	17.3	16.2	13.4	7.2	3.2	-1.2
1992	0.3	1.1	2.9	6.6	12.3	16.3	17.9	19.8	12.3	5.6	3.8	-0.1
1993	1.5	-1.6	0.9	8.6	14.5	14.2	15.1	15.2	11.2	7.3	-1	2.1
1994	2.2	-2.1	4.5	6.8	11.5	14.9	19.7	16.7	12.6	6.3	5.1	2.4
1995	-1.2	3.3	1.6	6.7	11.2	13.3	18.9	16.3	11.3	10.6	0.3	-3.6
1996	-5.3	-4.6	-2.4	5.8	10.9	14.6	14.4	15.4	8.2	8.7	4.4	-5
1997	-3.4	1.7	2.8	3.6	11.9	15	15.4	17.2	11.8	5.5	2.5	0.8
1998	1.1	3.4	1.4	9.1	12.8	15.8	15.9	15.4	11.7	7.2	-0.6	-0.3
1999	1.9	-1.8	4.1	7.8	12.5	14.2	17.7	15.8	15.3	7.7	2.1	0.6
2000	-1.8	1.9	2.5	10.5	14.2	16.4	14.3	16.8	11.5	11.1	6	1.9
2001	-0.3	0.2	2.6	6.1	13.3	13	17.3	17.6	10.5	11.4	1.6	-3.4
2002	-0.2	3.7	3.5	6.6	15	16.3	17.8	18	10.8	6.6	4.3	-3.3
2003	-2.4	-4.6	2.7	6.1	14.3	17.8	17.3	17.9	12.5	3.9	5.3	0.8
2004	-3.6	0	1.9	7.7	10.4	14.2	16.1	17.4	11.8	9.2	2.9	0.4
2005	0.2	-3.3	0.3	8	12.3	14.6	17.1	14.6	13.1	9.6	1.9	-1.3
2006	-4.4	-3	-0.7	7.2	11.9	15.8	20.4	14.2	15.1	10.2	5.8	3.5
2007	2.9	2.4	4.8	9.7	13.6	16.6	16.8	16.1	10.5	6.5	1.5	-0.2
2008	2.4	2.5	2.6	7.1	12	16	16.8	16.8	11	8	5.1	0.7
2009	-2.9	-1.4	2.6	11.1	12.4	13.1	17.5	17.4	14.2	5.7	6.2	-1.5
2010	-6.4	-1.9	2.2	7.3	10.2	14.8	18.9	16.6	10.8	6.3	4.5	-5.6
