rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1901	27.8	7.1	74.3	102.5	48.7	204.2	138.5	110.4	46.3	55.3	53.1	70.2
1902	37.2	48.1	59.8	48.5	110.6	215.7	144.2	108.7	45.7	153.5	0	52.9
1903	28.7	49.3	20.3	112	52.1	162.8	255.3	127.1	34.8	84.9	76.7	24.1
1904	15.8	48.9	8	51.5	63.4	80	42.8	122.3	97.3	86.2	70.4	63.3
1905	32.6	22	25.7	73.3	109.8	161.2	153.9	184.9	76.6	95.6	58.2	26.3
1906	22.4	33.8	123.5	27	89.6	178.1	211.2	105.8	139.4	14.1	46.4	72.5
1907	64.4	21.5	67.6	54.6	58.9	170.5	144.5	105.2	59.6	11.2	46.7	78.1
1908	27.5	60.4	79	77.3	109.6	105.6	273	190.7	60.4	12.9	17.1	23.3
1909	29	50.8	38.3	60.6	179.8	211.6	179.9	79.3	117.3	56.1	46.5	52.1
1910	43.3	22.2	23.8	69.4	107.9	125.1	154.8	110.8	194.2	36.2	90.2	67.2
1911	37	64.9	31.5	53.4	112.3	67.6	40.9	62.8	94	36.6	49.6	59.1
1912	41.4	57.4	67	120.5	248	183.8	97.9	115.3	175.7	107.6	50.9	37.5
1913	21.6	7.5	38.2	72.5	88.9	81.6	194.3	225.3	95.8	20.3	52	62.3
1914	10.6	7.8	57.6	46.5	145.6	112.5	148.1	81.3	177.6	70.5	13.5	57.3
1915	73.8	15.5	69.6	77.6	89.7	70.2	138.5	192.4	145.2	89.6	60.8	62
1916	85.1	46.1	58.1	141.5	75.3	141.2	109	94.2	90.6	70.9	29.2	49.6
1917	64.7	25.7	46.1	89.3	53.8	55	89.3	76.4	39.6	80.3	74.5	48.4
1918	20.8	32.8	13.3	28.2	41.9	117	155.2	182.3	70.6	115.5	32.5	71.4
1919	25.2	23.2	91.7	69.6	241.6	125.7	142.5	101.6	52.5	120.9	73.2	43.4
1920	68.2	44.4	46.1	43.6	87.6	119.5	230	100.7	61.7	15.8	3.4	27.6
1921	53.5	37.2	5	73.6	68	57.1	82.6	112.1	29.4	46.8	58.7	30.9
1922	68.2	20.9	78.7	79	38.7	94.2	138.3	62.3	146.4	149.4	53.4	26.1
1923	51.8	53.9	33.7	64.4	45	130.5	60.1	110.2	66.2	128.3	118.4	42
1924	30.6	48.9	34.2	63.8	160.8	142.2	172.2	74.8	90.5	24.7	41.6	8
1925	24.8	18.9	42.1	45.1	71.8	293.6	173.6	162.6	75.4	44.6	44.5	44
1926	29.8	27	62	80.2	85.6	224.8	163.8	103.5	40.5	159.3	33.7	49
1927	63.8	16.5	82.1	91.7	54.2	134.6	152.5	159.7	99.7	20.5	70.4	22
1928	40.4	37.1	27.9	54.4	125.3	65.9	35.6	91.3	93.9	34.8	64.5	48.3
1929	46.2	21.5	29.6	68.7	131.1	145.7	114.9	134.6	36	61.5	46	41.9
