rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1901	-8.8	-7.8	-0.2	6.4	11.7	15.8	17.8	16.2	11.9	8.9	1.2	-1.1
1902	-0.9	-3.1	0.1	5	7.6	13.8	14.9	15.5	11.4	6.6	-1.8	-8.1
1903	-4.6	-0.4	3.8	5	11.5	14.3	16.1	15.2	12.7	7.8	2.7	-3
1904	-5.7	-1.8	0.4	6.8	10	14.5	18.2	16.5	11.3	7.7	0	-2.2
1905	-7.3	-3	1.5	4.9	11.9	16.3	18.1	17.3	13.3	4.1	3	-2.7
1906	-4.2	-2.6	0.7	8.2	13.1	14.3	17.4	15.5	11.3	7.4	4.8	-5.6
1907	-6.4	-6.5	-1.6	4.3	13.1	14.7	15.2	15.3	12.1	12.4	0.6	-3.3
1908	-5.5	-2.5	0.1	5.3	12.9	16	17.2	14.4	11.2	6.9	-2.3	-5.1
1909	-6.5	-7.4	-0.1	6.2	9.7	14.5	15.6	16.8	13.9	10.6	0.8	-1.1
1910	-2.7	0.2	1.8	6.9	12.1	16.4	15.9	15.6	11.5	7.4	1	-0.4
1911	-3	-5.4	1.1	6.5	12	14.2	17.7	17.8	13.4	7.6	4.1	-1.2
1912	-8.2	-2.5	3.3	5	10.2	15.8	17.3	14.7	8.3	5.1	0.1	-1
1913	-5.4	-3.7	3.4	6.7	10.5	13.8	14.4	14.5	12.4	7.8	4.1	-0.9
1914	-7	-3.4	2.2	8.6	11	14.2	17	15.9	11	6.6	0.3	-0.2
1915	-2.3	-2.3	-1.8	7	12.1	16.4	16.3	14.6	10.4	6.4	0.2	0.1
1916	-0.4	-2.8	3.4	7.4	11.1	13.4	16.6	15.3	11.4	7.2	3.7	-0.4
1917	-4.7	-8.5	-2.4	4.4	11.8	17.7	17.5	18.2	14	8.9	4	-4.7
1918	-2.8	-3	1.6	10.8	11.8	12.5	16.6	15.6	13.4	9.1	0.8	-2.7
1919	-2.3	-3.2	1.2	6.3	7.9	14.1	15.1	15.3	15	7	-1.4	-3.3
1920	-2.1	-1.8	3.6	10.9	13.7	13.4	18.3	15.5	12.8	5.1	-1.6	-2.8
1921	0.7	-3.4	3.7	7.2	13.3	13.7	18.3	17.6	12.3	8.9	-1.1	-3.8
1922	-6.5	-6.4	1.9	5.6	12	15.6	16.9	16.1	10.7	5.3	-0.3	-2.4
1923	-2	-3.7	1.9	5.1	12	11.1	17	15.4	13	10.3	3.4	-3.3
1924	-7.8	-6.1	-1.2	4.8	13	15	15.8	14.7	13.7	8.2	0.6	-3.9
1925	-2.2	1.3	0	7	13.1	12.6	16.6	15.5	10.7	7.6	2.3	-4.9
1926	-3.9	-0.4	0.6	8.4	10.5	13.3	16.6	14	13.1	8	7.1	-2.7
